018-04-17 00:46:12,013 - root - INFO - handle_data (18): 04 00 01 01 1e 00 01 00 80 0c eb 2c 43 0a 01 00 02 00
2018-04-17 06:22:31,166 - root - INFO - handle_data (130): 74 00 01 01 1e 00 01 00 80 0c eb 2c 43 0a 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00
2018-04-17 06:53:05,579 - root - INFO - handle_data (130): 74 00 01 01 1e 00 01 00 80 0c eb 2c 43 0a 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00
2018-04-17 07:23:40,060 - root - INFO - handle_data (130): 74 00 01 01 1e 00 01 00 80 0c eb 2c 43 0a 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00
2018-04-17 07:54:14,541 - root - INFO - handle_data (130): 74 00 01 01 1e 00 01 00 80 0c eb 2c 43 0a 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00
2018-04-17 08:24:49,080 - root - INFO - handle_data (130): 74 00 01 01 1e 00 01 00 80 0c eb 2c 43 0a 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00
2018-04-17 08:55:23,713 - root - INFO - handle_data (130): 74 00 01 01 1e 00 01 00 80 0c eb 2c 43 0a 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00
2018-04-17 09:25:58,886 - root - INFO - handle_data (130): 74 00 01 01 1e 00 01 00 80 0c eb 2c 43 0a 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00
2018-04-17 09:56:36,740 - root - INFO - handle_data (130): 74 00 01 01 1e 00 01 00 80 0c eb 2c 43 0a 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00
2018-04-17 10:27:16,056 - root - INFO - handle_data (130): 74 00 01 01 1e 00 01 00 80 0c eb 2c 43 0a 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00
2018-04-17 10:57:55,497 - root - INFO - handle_data (130): 74 00 01 01 1e 00 01 00 80 0c eb 2c 43 0a 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00
2018-04-17 11:28:35,049 - root - INFO - handle_data (130): 74 00 01 01 1e 00 01 00 80 0c eb 2c 43 0a 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00
2018-04-17 11:59:14,646 - root - INFO - handle_data (130): 74 00 01 01 1e 00 01 00 80 0c eb 2c 43 0a 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00
